clean_text,emotion_label,stress_label
dengar lagu rumah sedih banget arti beda lihat cuplik film fyp sedih,sad,0.67
nikah habis baca takut,anxious,0.82
jangan biar mimpi kubur perlahan laku impi hidup harga gigitch,neutral,0.3
semangat kak biann,happy,0.12
ular buaya tikus panggang enak,neutral,0.26
tidak deng benar cemas posting selesai sidang cemas,anxious,0.73
bodoh tidak lah check orang xcden,angry,0.99
jangan bikin orang khawatir jull,angry,0.93
bungkus plastik selesai baca jaga suhu halaman awet pakai ziplock pakai plastik bening bungkus lanjur kuning rangin kuning amplas pelan plan,neutral,0.32
semangat banget anjir,neutral,0.28
dok ya awat gigi libur jam gin sepi,neutral,0.2
ncts tunggu comeback nct suara ayo tabung siap coba biar tidak panik announce coba direct message,neutral,0.35
zoo anabul tetangga tidak mau diam kadang suka masuk rumah kadang suka pup teras rumah kasih makan ya,anxious,0.9
duga loni takdok ore kijo mari kijo sari tkse doh ore kijo hk mari lekat allahu sedih gano natural killer tinggal sapa loni kijo sobs,sad,0.56
kemarin truk angkut air isi ulang guling tidak ada jarah situasi sepi,neutral,0.29
banget sepi seram,anxious,0.8
sarap hujan indomie soto plus telur enak kali ya,neutral,0.36
kaget benar rupiah thailand cewek tidak ada rpnya ya fanbase official,neutral,0.39
pakistanis hv the attitude of apni zidh choorein hum apni wahzah kyun badalein imran insan hai essa kakak assah nahi joh zameen pai marah tou sub seedhay oh jahein gai yahan har koi apna uloo seedha karta hai bos thts the realita,neutral,0.27
izinin suami poligami hindar zina banget he mmngnya nabi poligami gara gara mata keranjang gampang sange niat zina biar tidak zina dinikahin ngelirik cewek sebar ajar agama tolol ajar agama,angry,0.94
pagi emosi,angry,0.9
congratulations for debut child makna banget huhu kayak relate hidup hidup oranglain semangat karya karya bahagia me lafyu xx,happy,0.13
iya takut banget fc rpku pakai thailand,anxious,0.86
khayal tunggu masa mana sakit covid tara masuk angin obat minum antagin kero tunggu jaga sehat jaga ya masker vaksin taat prokes solusi baik,neutral,0.3
lucu sepi purwakarta tidak apa,sad,0.76
semangat diah yuk yuk bismillah,happy,0.1
sedih banget online,sad,0.79
kali nak marah mesti kena lucu takpela nak marah,angry,0.92
bayar beban maklum tagih,neutral,0.31
suka ya lihat fadli om gala kayak adem lihat wajah tidak yang cakap banget adem lihat kayak ubin mesjid,happy,0.18
ya kadang kesal suka lewat batas usaha banget biar tidak negatif orang minimal sopan,neutral,0.3
tidak biasa tua panggil adek santai orang bilang adik ya saudara kandung muda umur kayak,neutral,0.39
takut ah lucu,anxious,0.7
kangen sedih overthinking lucu baca komen buku,sad,0.77
pakai automatic harum nder rusak ganti spray kayak harum suka rose garden pojok kiri semprotinnya ujung sudut kamar makan makan tutup nder biar tidak kena,neutral,0.26
emosi banget lihat,angry,0.96
berani ya stranger tidak takut word aman sex ya nder,anxious,0.78
pengaruh pakai pas malam tidur besok normal,neutral,0.29
malu ku bnar bnar malu,anxious,0.84
bismillah pacar adek uji semester kemarin semangat tinggal minggu kangen,happy,0.19
semangat aeril,happy,0.05
kabar atashi,neutral,0.4
tidak enak badan hasil cemas,sad,0.58
orang mimpi,neutral,0.34
sayur,neutral,0.25
orang islam tidak butuh orang bodoh,neutral,0.32
tanggal jangan panik tenang,neutral,0.39
fess es krim enak banget susah ya cari sender sedih,sad,0.62
kuat kuat orang riang tertawa bahagia hari kadang suka sedih netesin air mata,sad,0.75
bahagia bingung kecewa sedih marah putus putus bahagia bahagia dengan bahagia hasil tepat putus putus,neutral,0.28
andai percaya skenario happy sang tulis kunci percaya konflik waktua percaya percaya percaya happy of manusia langka,neutral,0.32
sumpah gue galau dengar lagu hiphop rock lagu galau,neutral,0.38
tidak mau bilang manas manasin mantan mending bestie kakak biar asa nada canda dia marah tidak sadar nongki geng fitnah habis an,angry,0.98
untuk tabu tidak baik laku dada aurat cewek sensitif cewek tidak bisa laku terus bawa dewasa sumpah ngeri,anxious,0.74
takut banget jujur yangti turun tangan,anxious,0.77
huhu pendek banget ya tidak buka instagram kadang notifikasi live tidak masuk suka sedih,sad,0.79
beneerr tidak erti malu,anxious,0.73
malas gerak baca malu,sad,0.57
dendam ppbm umno adil negeri umno tarik sokong raja rapuh janji jangan bagi anwar pm dasar sama melaka sarawak result cantik aim johor,neutral,0.21
lucu iya emosi lihat nino banding irvan lucu tidak magadirnya gedek,angry,0.9
selamat keren menteri badan usaha milik negara erick thohir semangat,happy,0.09
jadi ayat hujjah coba paham konteks jangan cuma text ayat syarat tentu enggk monggo jadi referensi,neutral,0.25
jangan di ah malu,anxious,0.85
simpang muara antre kendaran normal tiga kaki simpang situasi arus lintas lancar,neutral,0.26
hai kabar gembira kali twitter,happy,0.08
hawane takut,anxious,0.84
nak bodoh,neutral,0.23
ah iya banget hazaa kayak bawa mellow banget ya semangat hazaa moga mellow kesal sedih gajelasnya cepat hilang ya,happy,0.13
hore kabar pagi love jiminie,happy,0.01
gue panik bangsat,angry,0.93
banget kerja santai jalan jalan gaji oke,neutral,0.28
takut ketua jalan ya lucu wfh,anxious,0.75
puji tuhan ku bahagia banget kabar jimin sembuh,happy,0.13
bilang jang naeoun but then hem makan interesting,neutral,0.35
kasih harga,neutral,0.28
aduh solo ssr suka takut,anxious,0.82
sepi yanc,sad,0.61
manusia bodoh anak tidak suka ya tinggal skip jangan racist aduh setan setan komentar seram setan,angry,0.87
senyum bahagia kadang senyum hati,sad,0.75
sedih tidak tau keluh,sad,0.79
sukses mion semangat,happy,0.03
tau aneh banget orang orang suka,anxious,0.9
minx gambar ic normal,neutral,0.25
tolong tidak bisa lockey den tidak apa erti tolong banget jangan ajak bikin kompor kayak orang goblok bikin twit ajak ikut sedih bukan hanya lockey bikin kesal kayak ampas terima kasih lockey tahan,angry,0.89
ekon ekon tidak berpolowers,neutral,0.29
sepi ning tambah ikut,neutral,0.27
alhamdulillah tidak jadi malu,happy,0.08
hai piaa semangat,happy,0.01
takut,anxious,0.83
sekolah ramai ramai makhluk kasat mata lucu bikin merinding,anxious,0.82
bodoh relax sakit,angry,0.99
takut guru wml biar tidak tahu buku,anxious,0.87
manusia sempurna adn kadang salah,neutral,0.32
otak mesum ya kayak tolol,angry,0.89
enak,happy,0.1
kakak malu tau,anxious,0.76
anak jadi model bunda biar balas dendam,angry,1.0
tidur normal tidak begadang lihat mu hidup bahagia,neutral,0.39
semangat bebebkuu,happy,0.17
guys yuk mumpung sepi join pinned ku ya,neutral,0.28
takut tinggal sayang,anxious,0.71
hati hati bego benar,angry,0.88
bodoh banget tidak sih,angry,0.91
kaget takut kemarin minta,neutral,0.27
anjwengg panik,anxious,0.77
jujur kak orang tidak bisa tidak mau baca fan fiction nama artis ganti face claimnya tidak bisa bayang susah tap senang banget suka kadang tidak ooc biar bis,neutral,0.29
ayo semangat ayo,happy,0.15
minggu pantai and dingin dingin kayak bukit tidak sampai,sad,0.65
sedih perform member doang gara gara jiyoon sehat moga lekas sembuh jiyoon,sad,0.68
amin moga lancar nder semangat,happy,0.19
ah tidak erti atur kerumun kena sanksi denda ribu kena juta juta plus penjara ah lelah maaf bodoh dungu,sad,0.65
hola kak wawa don skip breakfast ya moga hari jalan lancar mudah urus jauh mara bahaya moga lindung tuhan janlup vitamin ya semangat janlup senyum hihi stay healthy always be happy have great day kak,happy,0.0
syaraf bin edan tidak puny malu goblok cebong tolol si mukidi,angry,0.88
kaget kira akun teman ku ava,anxious,0.84
normal german pro globohomo tau ya tell me,neutral,0.4
semangat nona habis sih akun,happy,0.17
ayo semangat ayo kakak xixi,happy,0.17
mantan istri bongkar trik cinta ferry irawan suka kirim,neutral,0.26
pagi semangat giat jangan lupa sarap have nice day,happy,0.02
makan seblakk irit duiitt takut tidak cukup akhor lucu gue,anxious,0.86
homophobic sampah lapak foto banyak indonesia mancing pakai aplod ujung bawa gue kena hate bangsat suruh fanservice,angry,0.87
terima kasih denise hias mm our super main vokal kerandoman denise ceria denise terima kasih for all sumpah sedih banget denise out sn tidak tau alas out dukung sn denise,sad,0.62
bikin thread malu bukan tanggung seller dilogin,neutral,0.29
happy birthday maknae on top dreamis adik sayang abang jeno sehat ya adik terima kasih lahir dunia bahagia,happy,0.19
tonton film antagonis kesal benci banget lihat muka jijik ludahin,angry,0.89
jangan rasa puas tahu milik samudra ilmu bentang sangat luas,neutral,0.39
orang ya aneh banget suka cemas tidak jelas ajak orang heboh,angry,0.85
orang hadir hidup alas beri bahagia kecewa,neutral,0.23
tidak sedih kesal tidak tapi air mata feeling kosong lucu gilss,neutral,0.25
feelingku tidak enak lucu,anxious,0.82
ya hidup tidak gairah tinggal orang gkd gantung ekonomi pas an orang suka rupiah bokek bego khianat tidak saya tidak harap ketemu tarik tidak mungkin,sad,0.78
kua sepi biar cepat,neutral,0.2
orang hadir hidup alas beri bahagia kecewa,neutral,0.23
takut tidak apa,anxious,0.8
tau man refleks,neutral,0.39
enak enak ah kak,neutral,0.31
kucing anjing bangsat,angry,0.91
takut banget,anxious,0.79
powernya manusia gede powernya gede ikut ukur badan gerak lambat tidak tahan,neutral,0.31
gue sadar muka gue pas nikah tidak ada beres kayak paksa banget senyum photographernya bilang pengantin suka banget foto susah banget foto,sad,0.63
eh bicara benci orang jepang jangan sampai bicara orang jepang ngangep negara tidak benar etika,angry,0.86
iya mending personal chat undang langsung semangat sender tidak malu malu ajak,neutral,0.36
tidak masalah sembuh kah diam bawa aktivitas hati hati radang pekan ayuning rencana,neutral,0.38
senang senang sedih sedih beda ya cerita sedih pas putus,sad,0.68
pilih warna warna cerah hijau biru merah muda warna lantai tembok kamar mandi,neutral,0.28
cewek bahagia pasang meng anggap meng anggap meng anggap cewek satu,neutral,0.37
bodoh,neutral,0.27
dichat pesan mimpi bangstt,angry,0.96
tim suka banget lihat angka tabung tambah tidak pelit makan tidak pelit beli beli kado barang mahal ya tabung tunggu bonus beli tidak tiap belanja barang mahal kedok self reward,neutral,0.24
sedih pagi,sad,0.63
protes kena marah,angry,0.98
bismillah desiliun takut berat hisab hem,anxious,0.81
alhamdulillah pagipagi kabar happyy yayy sayang jimin sembuhh tinggal pulih habis operasi ya,happy,0.1
enak,neutral,0.21
teman teman kasih info bawa pulang kucing dokter tidak ada petshopnya takut kucing cemas bawa pulang dokter bawa kesana,anxious,0.77
semangat karya kak,happy,0.06
berita awal politikus korupsi,neutral,0.2
tidak suka hubung ya tau buruk kayak tidak semua cerita tidak suka campur mentok banget butuh solusi sudut pandang orang,sad,0.51
bacoot kadrun bangsat,angry,0.95
aura tidak apa menang bikin keluar emosi rasa jangan lupa senyum ya besok tidak apa menang bikin,sad,0.69
pacar rebut batur kalem ulah sedih nu syukur eta tandanna gusti allah nyaah kakak misahkeun ti jelma nu gampang,sad,0.57
semangat pagi bang salam madiun,happy,0.07
anonim dok ava colong mancing ribut tidak usah dlayanin,neutral,0.28
acc real sepi yuk join admin member hati tidak sombong,neutral,0.2
makan steak mahal hasil upah minimum regional,neutral,0.34
jengkel maksimal tengah kaki usaha imbang did well sis keep goin objektif bijak jangan mau bodoh hidup hak bahagia jangan tidak bahagia bikin orang bahagia,angry,0.87
iya mas bingung takut salah beli obat,anxious,0.89
iya kakak kucing oyen galak banget betina takut,anxious,0.83
habis sedih unspeakable biar pindah on sedih lanjut baca cerita sedih,neutral,0.23
semangat mass,happy,0.2
famili your trust harmonis keluarga tinggal sang kakek keluarga hancur bunuh beranta lantas dalang pecah,neutral,0.29
semangat,happy,0.04
sedih,sad,0.73
gue jangan terlalu cuek kecewa orang sadar tidak semua orang erti orang hidup tidak selalu kayak sikap orang individu milik karakter beda,neutral,0.32
haloo my lovely jejee gue tidak apa lucu semangat ya,happy,0.19
menit tidak deras apa hujan tatap basah hadir sakit kondisi badan tidak fit mari tapak kaki injak muka tanah basah akibat rintik tenn masuk tangan saku jaket,neutral,0.22
uwah semangat besok lusa ya,happy,0.1
kriteria titit enak versi rina tebal lurus bengkok kuat gampang tegang keluar periode refraktor singkat rounde,neutral,0.25
ubah emosi hari,neutral,0.29
ekstra shot awak espresso shot americano pahit,neutral,0.33
buset takut banget,anxious,0.77
emosi kemarin tidak hilang,angry,0.98
nilai objektif ya nder turut pikir ungkap menfess matang dewasa nder jangan imajinasi depan bahagia pikirinnya risiko cerai ya will think kali,neutral,0.29
ku kerja suka kakek tua banget mata katarak jalan pelan banget susah mikul jual tape kadang sore dagang kadang menang anak serasa ayah sedih banget,sad,0.78
iya anjing ih benci banget,angry,0.9
bego,neutral,0.37
shashin wa zenbu oite foto tinggal,neutral,0.4
jangan lupa sayang napas takut lupa repot,anxious,0.76
takut jeongwoo merah,anxious,0.78
safir gulir arah mana gerobak jual crepes jual ahjussi bakat turut crepes crepes enak seoul itu,neutral,0.35
ya santai,neutral,0.37
alhamdulillah kabar srpan niee,happy,0.15
senang sehat makan normal habis bersih piring senyum semringah jual,happy,0.03
ya orang suka banget cari salah aespa iri bilang sahabat damn tidak suka mending,angry,0.94
happy saturdayy semangat have nice dayy,happy,0.12
takut,anxious,0.89
banget teman teman suka sumpah serapahin asli lupa banget kayak asa balas eh tau balas hati batu ku balas itu ngehnya gara scroll chat tidak scroll tahun,sad,0.64
inconsistent tidak tentu serba lawan tindak emosi tidak dasar logika,neutral,0.32
simpang agus salim antre kendaran normal tiga kaki simpang situasi arus lintas lancar,neutral,0.28
marah btol bang,angry,0.99
gila lockey stay strong ya tidak bayang member berita member grup mana ikut sedih moga trejo aman depan,sad,0.59
sedih tengkar cemburu menang ngembek,sad,0.66
orang nikmat terkadang cari tidak akan temu tidak berat panggil,neutral,0.33
luka banget suka menang sakit,sad,0.61
bukan siapa prihatin anak bangsa,neutral,0.34
hi kak cari app prem cepat lengkap fast respon testimoni on pinned ya yuk langsung direct message jual netflix murah spotify wetv kaget nikah all of us are dead,neutral,0.36
seru banget bikin emosi,happy,0.13
no tidak benar banget gue oi cegah zina ya tahan nafsu bego jangan minta poligami kate banget poligami muazin nafsu jerk no gue sampai salah distu olah istri alat penuh puas,angry,0.97
tuhan memilki buka mata orang orang usaha manfaat jangan pernah ragu,neutral,0.26
sabar ya mbak bingung pribadi mbak marah,anxious,0.87
lucu jual beli suka suka whales whales doang grup pisah pisah jual beli suka suka jual tidak bilang sorr bilang pas serok patok enak ya tradfi makro ekonomi,neutral,0.28
lawan ina gue takut tembus semifinal lawan grup seram,anxious,0.75
selamat pagi jangan pada kecewa wiken,neutral,0.27
takut percaya,anxious,0.78
mu kalah,neutral,0.24
makasii semangat pik,happy,0.2
profesor resign kampus bikin malu almameter kesal,angry,0.99
pancing emosi pagi,angry,1.0
kecewa,sad,0.53
bangsat banget,angry,0.89
rumah bipolar cewek tidak tau tingkat cewek depresi susah ngontrol emosi,neutral,0.36
sayang malam video call sex tante puas tidak sayang bugil sayang yuk video call sex pekan yuk sange,happy,0.17
badan rencana bangun nasional aku kunjung kerja proyek kereta cepat jakarta bandung temu tukang las tenaga kerja asing cina,neutral,0.27
maaf ya etik ngeri hukum mati bu moga keti tidak salah tidak dampak negatif orang amin,anxious,0.82
daftar kakak raih sempat menang puluh juta modal daftar pakai rekening apa pungut biaya admin daftar klik link ya,neutral,0.24
ya banget pikir kontras sedih lucu gue salah orang sedih pas tidak sedih feel like wantto cherish them,neutral,0.34
semangat,happy,0.09
sedih banget teman gue,sad,0.64
tolong nilai akm keluar banget takut,anxious,0.7
semangat fa,happy,0.08
jangan malu,neutral,0.38
sedih,sad,0.79
tigrealnya guna tigreal malu banget,anxious,0.87
akun kayak kembali,neutral,0.29
gosa bebawa mu nad marah urus liga italia,angry,0.86
ioe wax tidak doug yeufou xalei lolou tidak tolol,angry,0.95
takut kecewa,anxious,0.86
aga emosi datengin ksy pacar benar tidak sih emosi banget suka tmi anak ngecrush gelud ayo ayo marah tidak ada ku marah,angry,0.88
kabar,neutral,0.36
tidak sibuk banget suka tidak suasana hati aktif,neutral,0.37
malas bikin emosi,angry,0.96
kakak sender senang banget au sender ramai tidak ada tunggu tunggu orang semangat author jangan sedih au sepi ramai okayy,happy,0.01
tidak malu,neutral,0.28
tugas malas banget takut tumpuk malas,anxious,0.86
pagi ruby kabar,neutral,0.37
start yuk hi kak cari app prem cepat lengkap fast respon testimoni on pinned ya yuk langsung direct message jual netflix murah spotify wetv kaget nikah all of us are dead,neutral,0.39
tetap santai olimp,neutral,0.24
tau sepi manusia tau sedih manusia kuat princess tutu,neutral,0.27
bingung tonton skz treasure beda takut sesal tidak ada,anxious,0.76
semangat sender,happy,0.18
bukan rupiah minor tolong jangan bodoh kirim base,angry,0.87
nothing is impossible bukan hanya melulu harap senang kecewa sedih andil dalam,neutral,0.29
negara suka ya isu gede bikin bijak biar bikin pecah fokus isu anak lurah hilang gara gara ikn isu wadas hilang gara gara jht dicairin pas usia jago banget main catur heuheu miris nasih rakyat,angry,0.96
ina tidak perlu beban menang ya orang blnya panik tenang,neutral,0.28
mama orang orang ngelunjak ya diam orang tidak tega an ya jatuh tolol ngebantuin orang tidak bisa usaha,angry,0.95
kaget kekeyi lucu,anxious,0.82
iya semangat pagi yaww kak happy weekendd yn,happy,0.17
tingkat kayak coba clear data,neutral,0.3
halo siang kak sambung ursula maaf bikin gelisah izin cek ya ursula,neutral,0.2
senang teman kayak lucu suka banget orang tidak ada kabar hilang gua terima kasih orang,neutral,0.24
suka bikin emosi tag kack,angry,0.87
enak masak telur ceplok margarin nyisa taruh nasi behh,happy,0.17
kecewa guess,sad,0.71
pedri publik sangat penting dengar hangat kasih sayang kuat,neutral,0.38
profesor goblok ngelonte pikir segar orang kafir ngelonte ibadah utama,angry,0.94
nama hidup enak tidak enak ya nikmat,neutral,0.31
semangat biar tingkat vivo iya ngeleg moga rejeki amin,happy,0.08
kaget notifikasi kqkwkw,happy,0.18
psi benci alami naik elektabilitas progres publik,neutral,0.27
banget banget benci gue salah satu pas kerja tulis teman bilang kakak ipar tidak suka gue cenderung benci pas putus kontrak senang banget anjir,angry,0.88
orang enak curhat tuhan ya maksud gue curhat guamah bicara salah salah duh,angry,0.94
senang solo mark bukan lagu marah marah mentok gue tidak suka lagu marah marah lucu,happy,0.17
dengar allah suka dengar suara hamba tuhan suka dengar saksi saksi dengar tuhan sungguh betapa kurang kasih allah oswald chambers neutral orang buruk buzzer adu domba muslim fitnah caci nabi sabda buruk buruk suka adu domba saudara muslim cinta nasehat pagi sayyidil habib,neutral,0.23
simpang air hitam antre kendaran normal empat kaki simpang situasi arus lintas lancar,neutral,0.34
seru bangsat,happy,0.03
tidak kaget manajemen rating apps play store,neutral,0.24
pedri atletico tekan curi bola lapang lawan intensitas main harap kuasa bola main main,neutral,0.31
kemarin coba wedang ronde jago salatiga beda wedang ronde isi bolaa ronde padat manis jahe dalam renyah nampah pedas jahe perlahana mantap,happy,0.11
bakar lumbung curi beras biar lapar datang bagi potong roti sangat cinta bahagia yakin cinta pilih mu raja,neutral,0.24
malu banget anjrot lucu lucu tertawa,happy,0.11
berita dukacita sliwar sliwer kasih mas teman saudara tidak kabar kasih kabar duka ealaah gusti lo tidak percaya pandemi pergi,neutral,0.37
iya sedih,sad,0.59
saturday lini gue sepi,neutral,0.35
sumpah ya instagram kadang resee suka tidak kasih notiff,angry,0.86
enak,happy,0.04
pagi pagi tidak enak badan makan bubur,neutral,0.3
pura pura kaget cuci tangan,neutral,0.24
ajar cari tau suka exercise unik logical banget nge flow ya start gerak percaya bangun,neutral,0.22
takut banget tidak ada nyaman cewek cowok otak gampang sange pindah negara lebih,anxious,0.83
malas ngecas suka banget pakai headset mending kabel,neutral,0.39
hai kabar harap,neutral,0.37
kecewa broken buang sedih buang parah pindah on,sad,0.77
suka ghosting sibuk fds ajar kelas pelor banget alias jam tidur jam tidur tidak berantak cepat tidur anak sabaar anjir kena karma ya gagal pindah on banget sabar,sad,0.62
turut tidak aneh nder normal,neutral,0.36
enak jangan aduk,neutral,0.31
tuju kadang suka gedek pro banget kayak anjir urus artis tidak becus,angry,0.98
takut egois,anxious,0.78
tau tidak sih kecewa kayak oh gue gagal,sad,0.77
sedih pih lucu menang,sad,0.56
tidak ada aneh orang suka cerita mimpi mimpi jarang banget mimpi malam mimpi mimpi suka tidak jelas pas bangun lupa kejut,neutral,0.3
tidak suka banget dichat ya bahas bagus tarik tanggap bahas bahas sensitif ya malas balas chat,angry,0.93
tararumben jijik pens manchester united tau marah marah ti lini nggeus tiasa nyak,neutral,0.22
kecewa bang,sad,0.55
bahagia sederhana syukur allah subhanahu wa taala,neutral,0.35
coba tonton yt viewnya tau tau kali tidak mempan,neutral,0.28
tidak sedih iya kayak we barang wing unggah nif lucu,sad,0.65
takut skripsi,anxious,0.85
ha iya masya allah ya sibuk banget tidak apa fokus wajib pas ya sayang tunggu kabar bahagia,neutral,0.28
pagi sedih,sad,0.68
kali human resources departement orang ngelamar wa kirim cv foto orang kirim cv surat lamar tidak pakai font normal orang kirim cv ada banget ya lumayan benernya heran,neutral,0.38
takut patah hati gara derek,anxious,0.81
emm malu banget,anxious,0.83
jujur malu orang indonesia tinggal negara orang bodoh kayak,angry,0.94
semangat zarven,happy,0.15
tidak suka valentine tidak bisa gombal suka mending tidak usah kasih sayang gombal istimewa kayak coklat valentine,neutral,0.24
enak banget iya,happy,0.16
suka menang ketemu orang orang banget gue tidak saling kenal ya allah salah pikir negatif syukur banget,sad,0.64
ya poligami ikut sunah rosul tunggu istri tinggal nikah nene tua miskin urus bukan mau enak doang tolol,angry,0.97
harga orang cinta pergi dari sesal sisa,neutral,0.3
bukan lockey ikut sedih lihat denise sn tidak panjang kontrak agens fannya,sad,0.66
semangat nan ayo semangat ayo,happy,0.2
semangat les,happy,0.16
obat strok ampuh bio nerve pesan wa,neutral,0.23
sisi proses kemarin gagal tidak apa banget minum obat selesai please banget benci banget situasi keep sakit susah mana benci banget,angry,0.89
takut kantor sisi televisi bicara,anxious,0.71
aduh takut viral komentar like komen banget busetdahh,anxious,0.9
kamu sepi,neutral,0.27
know this will end ab and feel the cerita trying pin as antagonist but really anjir suka sayang orang orang bicara mantan mulu,sad,0.72
banget baru sw pas habis pinjam duit eh kontak hapus anjing foya foya umpet tidak enak tau bangsat,angry,0.86
lini sepi,sad,0.64
halo halo kabar,neutral,0.38
benci,angry,0.97
gravity probe serah oke fix bawa asa bodoh pintar aku psnteis bicara asa huek pakai simbol biar anak pintar erti atom tidak tahu malu malu tahu bohong,angry,0.87
tidur bangun tidak enak pikir menang tidak tau ayo kompromi ayo,sad,0.63
kakak jangan marah marah takut cepat tua,anxious,0.85
rommy bui denda rupiah jutaa,neutral,0.38
sarap porsi mie instan tani sunyi pergi pesan,neutral,0.32
halo kak paket baru tanggal januari ya kak khawatir paket hilang lihat paket hilang twitter mohon bantu follow up ya kak tunggu paket,anxious,0.77
cewek senang suga iseng cewek kelas langsung maju anak cowok klop banget jam kosong suka main futsal lapang pokok sayang anak cocok,neutral,0.29
sarap oi tunggu menit pas beres banget oi tidak terlalu keringetan,neutral,0.28
hoy lini sepi,neutral,0.33
tonton episod selesai,neutral,0.34
senasibb less semangat ya kak jepp jangan lupa minum air putih have great dayy,happy,0.06
ayo kaya semangat bareeng ramein opmemnya wixst ya,happy,0.09
tau club bangga tolol fan,neutral,0.34
tidak kak gue kaget,anxious,0.74
sabtu cerah,happy,0.05
lucu kemarin tahan malu untung tidak jadi,happy,0.01
sayang milik butuh takut hilang penting,neutral,0.31
harap pacar langgeng bahagia sekali mantan teman musuh,happy,0.01
tidak kok kalah menang menang,neutral,0.23
pas ketemu tidak jadi marah sayang hem,angry,0.98
marah orang pakai filter mata muka ya allah merinding,anxious,0.73
tim kasih coklat coklat kasih orang tidak suka coklat,neutral,0.33
kapitalis politik bodoh,angry,0.87
tonton mending tonton tonton suka jo sung plot twist bikin menang banget scene,happy,0.18
denise sedih,sad,0.56
ya allah kabar bismillah ya allah jalan,happy,0.05
morningg irish semangat,happy,0.1
sepi banget mana ya,neutral,0.29
haloo cici gue tidak apa lucu cici semangat ya jangan lupa makan minum,happy,0.02
bangsat akun hack kah,angry,0.99
takut sepi,anxious,0.83
anak jago banget gombal ayem takut leyot,anxious,0.86
paket kirim ya mesennya meni sedih ih asa lilaa,sad,0.74
bego banget paksa ya,angry,0.91
be milik iphone my dream shopee jangan ragu pilih menang ya jaga sangat baik,happy,0.02
ayo semangat,happy,0.0
rakyat ribut kemarin dewan wakil rakyat kaget gaji uang rakyat kemarin dewan wakil rakyat check balances bikin eksmosi,angry,0.99
semangat mar,happy,0.09
halo admin syarat terbang juanda kualanamu vaksin dosis pakai antigen pacar ya tes ambil sedia bandara ya terbang besok terima kasih,neutral,0.24
bangsa sedih sedih,sad,0.67
larang bodoh setujuuh selamat tinggal bodoh selamat cerdas siritual ahlaq amin,neutral,0.33
sebentar kaget rencana kota halu,neutral,0.38
salah bang takut lihat bah,anxious,0.77
resah gue hilang pokok pikir enak fyp gue isi cuplik film layang kusut ku rumah anjing ketriger gue mulihin suasana hati gue muncul bangsat,angry,0.98
booster orang tidak bodoh ekonomi tidak pas pas tidak ada swab tahu positif,neutral,0.23
tidak sih cewek tulus takut patah hati,anxious,0.82
kayak warganet tiktok tolol banding warganet media sosial,angry,0.92
rambut rontok depresi gila overthinking kangen keluarga hancur hidup gabsa ngejalanin hancur tidak kuat ngelewatin mudah hancur hidup orang bahagia hancur hidup,angry,0.93
baby bahagia dasar pas om lupa ingat om hilang baby drpda paksa mending baby tulus om temu bahagia,happy,0.05
hai kabar jangan lupa sarap ya minum air putih jaga sehat ya rumah jangan lupa pakai masker cuci tangan jangan lupa jaga jarak have nice day semangat,happy,0.19
salah salah salah emosi salah emosi salah putus salah putus salah tindak salah tindak salah hasil salah hasil salah nasib salah nasib salah hidup salah,angry,0.92
amin ya rabi aalamiin semangat,happy,0.16
malu belikan paket zenius,anxious,0.83
pagi normal sejuk,neutral,0.21
semangat ya kak nanta moga lancar operasi cepat pulih semangat kakak hebat,happy,0.08
emosi katla kemarin terang hasil aci kesal,angry,0.86
badmoodd parah habis dengar langsung semangat,happy,0.01
tidak apa kaget,neutral,0.38
simpang tengkawang antre kendaran normal empat kaki simpang situasi arus lintas lancar,neutral,0.34
tidak bisa terima orang main kepercayaann terhadapnyaa,neutral,0.39
jangan takut ubah hilang oleh,neutral,0.36
takut tegak harga,anxious,0.7
takut,anxious,0.83
oalaah rajin ya ydah semangat ya,happy,0.15
hem roman tidak enak,happy,0.11
lucu betuls takut kayak kemarin percaya salah,anxious,0.87
happy pekan all semangat,happy,0.17
anjing bikin emosi baca pagi,angry,0.87
selamaat semangat ya sender,happy,0.2
ramai banget mal orang pergi mal sabtu minggu keluh kasper belas menit putar cari parkir salah alas kasper suka setir kota susah parkir,angry,0.92
banget teman bilang suka eh bilang beda agama mending jangan suka ya allah sesal banget,sad,0.52
kabar alhamdulillah jimin nyata negatif covid,happy,0.16
hem semangat kerja,neutral,0.34
moga,anxious,0.78
kemarin keluh almarhum jemput kerja eh malam langsung mimpi antar pergi kerja ku tidak sih takut,anxious,0.74
takut euy,anxious,0.72
morgana ganyu dps normal att burst,neutral,0.31
tidak enak gopal jabat aafikabbogor canda tegur tidak berani marah tidak berani ya,angry,0.92
tidak usah pura kaget bikin jengkel,angry,0.91
sedih banget dengar kabar denise secret number,sad,0.78
jangan sedih jangan galau mbah dukun langgan mujarab kasih alamat,neutral,0.31
kenal dunia orang tua ajar tertawa dewasa lupa senyum bahagia,happy,0.06
jenius banget makasihh ajar darimanaa,happy,0.02
remember having over air asia points expired tinggal,neutral,0.25
pagi emosi,angry,0.92
cari bubur ayam bubur sumsum but issokey enak selamat makan,happy,0.01
sadar jomlo sepi pacar happy,neutral,0.39
takut sembi,anxious,0.89
semangat ych,happy,0.14
pagi juta semangat streaming enjoy streamingnya nikmat lagu giat ya biar tidak rasa,happy,0.11
susu kenyot enak minum langsung sumber,happy,0.05
